,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,name,team,element_type,position,teamName,opponent,Date
0,3,2,16,0,True,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,10880,0,0,M.Elneny,Arsenal,3,Midfielder,Arsenal,Nott'm Forest,2023-08-12
1,3,12,8,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-3499,7526,123,3622,M.Elneny,Arsenal,3,Midfielder,Arsenal,Crystal Palace,2023-08-21
2,3,21,10,0,True,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,320,8822,2812,2492,M.Elneny,Arsenal,3,Midfielder,Arsenal,Fulham,2023-08-26
3,3,31,14,0,True,2023-09-03T15:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1304,7446,133,1437,M.Elneny,Arsenal,3,Midfielder,Arsenal,Man Utd,2023-09-03
4,3,43,9,0,False,2023-09-17T15:30:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-810,6783,177,987,M.Elneny,Arsenal,3,Midfielder,Arsenal,Everton,2023-09-17
5,3,51,18,0,True,2023-09-24T13:00:00Z,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-69,6914,449,518,M.Elneny,Arsenal,3,Midfielder,Arsenal,Spurs,2023-09-24
6,3,62,3,0,False,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,617,7959,1243,626,M.Elneny,Arsenal,3,Midfielder,Arsenal,Bournemouth,2023-09-30
7,3,71,13,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,195,8370,1130,935,M.Elneny,Arsenal,3,Midfielder,Arsenal,Man City,2023-10-08
8,3,84,7,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,324,8786,1006,682,M.Elneny,Arsenal,3,Midfielder,Arsenal,Chelsea,2023-10-21
9,3,91,17,4,True,2023-10-28T14:00:00Z,5,0,10,1,0,1,0,0,0,0,0,0,0,0,0,12,1.8,0.5,2.0,0.4,0,0.00,0.00,0.00,0.00,44,90,8952,805,715,M.Elneny,Arsenal,3,Midfielder,Arsenal,Sheffield Utd,2023-10-28
