,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,name,team,element_type,position
0,1,1,7,0,False,2022-08-05T19:00:00Z,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,45,0,23970,0,0,Cédric,,2,Defender
1,1,11,10,0,True,2022-08-13T14:00:00Z,4.0,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,44,-5169,24193,1361,6530,Cédric,,2,Defender
2,1,21,3,0,False,2022-08-20T16:30:00Z,0.0,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,44,-4337,20960,879,5216,Cédric,,2,Defender
3,1,31,9,0,True,2022-08-27T16:30:00Z,2.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,43,-2988,18825,577,3565,Cédric,,2,Defender
4,1,41,2,0,True,2022-08-31T18:30:00Z,2.0,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,43,-1611,17790,405,2016,Cédric,,2,Defender
5,1,56,14,0,False,2022-09-04T15:30:00Z,3.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,42,-1207,17133,516,1723,Cédric,,2,Defender
6,1,72,4,0,False,2022-09-18T11:00:00Z,0.0,3.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,42,-445,16837,114,559,Cédric,,2,Defender
7,1,81,18,0,True,2022-10-01T11:30:00Z,3.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,42,-1572,15362,64,1636,Cédric,,2,Defender
8,1,91,12,0,True,2022-10-09T15:30:00Z,3.0,2.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,42,-828,14630,148,976,Cédric,,2,Defender
9,1,104,11,0,False,2022-10-16T13:00:00Z,0.0,1.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,42,-229,14586,227,456,Cédric,,2,Defender
10,1,127,17,0,False,2022-10-23T13:00:00Z,1.0,1.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,42,-94,14516,166,260,Cédric,,2,Defender
11,1,131,16,1,True,2022-10-30T14:00:00Z,5.0,0.0,14,27,0,0,0,0,0,0,0,0,0,0,0,2,2.4,1.6,0.0,0.4,0,0.00000,0.00979,0.00979,0.04350,42,-247,14398,137,384,Cédric,,2,Defender
12,1,142,6,0,False,2022-11-06T12:00:00Z,0.0,1.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,42,-161,14350,156,317,Cédric,,2,Defender
13,1,160,20,1,False,2022-11-12T19:45:00Z,0.0,2.0,16,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,42,-168,14299,171,339,Cédric,,2,Defender
14,1,161,19,0,True,2022-12-26T20:00:00Z,3.0,1.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,42,40,14551,663,623,Cédric,,2,Defender
15,1,172,5,0,False,2022-12-31T17:30:00Z,2.0,4.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,42,-107,14533,113,220,Cédric,,2,Defender
16,1,181,15,0,True,2023-01-03T19:45:00Z,0.0,0.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,42,-128,14456,70,198,Cédric,,2,Defender
0,3,1,7,2,False,2022-08-05T19:00:00Z,0.0,2.0,1,90,0,0,1,0,0,0,0,1,0,0,0,12,16.6,15.0,2.0,3.4,1,0.00000,0.06325,0.06325,1.21190,50,0,48303,0,0,Xhaka,,3,Midfielder
1,3,11,10,12,True,2022-08-13T14:00:00Z,4.0,2.0,2,90,1,1,0,2,0,0,0,0,0,0,2,35,54.8,25.5,28.0,10.8,1,0.38380,0.10245,0.48625,0.46000,50,-629,65418,9001,9630,Xhaka,,3,Midfielder
2,3,21,3,6,False,2022-08-20T16:30:00Z,0.0,3.0,3,87,0,1,1,0,0,0,0,0,0,0,0,25,25.8,34.0,6.0,6.6,1,0.00000,0.11471,0.11471,0.25790,50,112040,216726,137326,25286,Xhaka,,3,Midfielder
3,3,31,9,2,True,2022-08-27T16:30:00Z,2.0,1.0,4,90,0,0,0,1,0,0,0,0,0,0,0,9,8.2,25.0,12.0,4.5,1,0.09320,0.06754,0.16074,0.83280,50,42760,267951,77459,34699,Xhaka,,3,Midfielder
4,3,41,2,2,True,2022-08-31T18:30:00Z,2.0,1.0,5,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,25.0,8.0,4.6,1,0.00000,0.03714,0.03714,0.45140,50,10781,288460,49435,38654,Xhaka,,3,Midfielder
5,3,56,14,2,False,2022-09-04T15:30:00Z,3.0,1.0,6,90,0,0,0,3,0,0,0,0,0,0,0,18,15.2,14.9,46.0,7.6,1,0.16120,0.12735,0.28855,1.55190,50,8776,308627,50721,41945,Xhaka,,3,Midfielder
6,3,72,4,5,False,2022-09-18T11:00:00Z,0.0,3.0,8,90,0,1,1,0,0,0,0,1,0,0,0,24,25.0,36.2,3.0,6.4,1,0.04070,0.25405,0.29475,0.53270,50,-3612,302039,11300,14912,Xhaka,,3,Midfielder
7,3,81,18,9,True,2022-10-01T11:30:00Z,3.0,1.0,9,90,1,0,0,1,0,0,0,0,0,0,2,29,36.2,20.2,31.0,8.7,1,0.33240,0.16707,0.49947,1.57420,51,7375,317511,32640,25265,Xhaka,,3,Midfielder
8,3,91,12,2,True,2022-10-09T15:30:00Z,3.0,2.0,10,90,0,0,0,2,0,0,0,0,0,0,0,8,16.6,7.3,18.0,4.2,1,0.07590,0.24844,0.32434,1.12980,51,63525,390185,83754,20229,Xhaka,,3,Midfielder
9,3,104,11,3,False,2022-10-16T13:00:00Z,0.0,1.0,11,90,0,0,1,0,0,0,0,0,0,0,0,15,8.6,2.8,2.0,1.3,1,0.00000,0.02411,0.02411,1.85510,51,-8549,381694,26252,34801,Xhaka,,3,Midfielder
10,3,127,17,10,False,2022-10-23T13:00:00Z,1.0,1.0,13,90,1,0,0,1,0,0,0,0,0,0,3,34,49.0,41.6,34.0,12.5,1,0.29310,0.05841,0.35151,0.67380,51,16549,368620,34061,17512,Xhaka,,3,Midfielder
