Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,Result,mktProb_homeWin,mktProb_NOThomeWin,Home_Elo_Rating,Away_Elo_Rating,eloProb_homeWin,eloProb_awayWin,gameDate
2002-08-17,2002-2003,Blackburn,Sunderland,0.0,0.0,D,15.0,7.0,5.0,3.0,1.727,3.25,4.333,0,0.52,0.49,1600.0,1600.0,0.5,0.5,2002-08-17
2002-08-17,2002-2003,Charlton,Chelsea,2.0,3.0,A,5.0,21.0,5.0,12.0,2.8,3.25,2.2,0,0.32,0.68,1600.0,1600.0,0.5,0.5,2002-08-17
2002-08-17,2002-2003,Everton,Tottenham,2.0,2.0,D,13.0,10.0,9.0,5.0,2.25,3.25,2.75,0,0.4,0.61,1600.0,1600.0,0.5,0.5,2002-08-17
2002-08-17,2002-2003,Fulham,Bolton,4.0,1.0,H,13.0,3.0,6.0,1.0,1.727,3.25,4.333,1,0.52,0.49,1600.0,1600.0,0.5,0.5,2002-08-17
2002-08-17,2002-2003,Leeds,Man City,3.0,0.0,H,13.0,18.0,8.0,10.0,1.667,3.4,4.5,1,0.54,0.46,1600.0,1600.0,0.5,0.5,2002-08-17
2002-08-17,2002-2003,Man United,West Brom,1.0,0.0,H,20.0,6.0,13.0,5.0,1.2,5.0,12.0,1,0.75,0.25,1600.0,1600.0,0.5,0.5,2002-08-17
2002-08-17,2002-2003,Southampton,Middlesbrough,0.0,0.0,D,12.0,11.0,5.0,5.0,2.25,3.25,2.75,0,0.4,0.61,1600.0,1600.0,0.5,0.5,2002-08-17
2002-08-18,2002-2003,Arsenal,Birmingham,2.0,0.0,H,15.0,7.0,7.0,1.0,1.222,5.0,10.0,1,0.73,0.27,1600.0,1600.0,0.5,0.5,2002-08-18
2002-08-18,2002-2003,Aston Villa,Liverpool,0.0,1.0,A,11.0,12.0,5.0,6.0,3.0,3.25,2.1,0,0.3,0.71,1600.0,1600.0,0.5,0.5,2002-08-18
2002-08-19,2002-2003,Newcastle,West Ham,4.0,0.0,H,13.0,7.0,10.0,4.0,1.571,3.4,5.5,1,0.57,0.42,1600.0,1600.0,0.5,0.5,2002-08-19
2002-08-23,2002-2003,Chelsea,Man United,2.0,2.0,D,11.0,9.0,5.0,7.0,2.75,3.25,2.25,0,0.33,0.68,1612.0,1612.0,0.5,0.5,2002-08-23
