Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,Result,mktProb_homeWin,mktProb_NOThomeWin,Home_Elo_Rating,Away_Elo_Rating,eloProb_homeWin,eloProb_awayWin,gameDate
2018-10-08,2018-2019,Man United,Leicester,2,1,H,8,13,6,4,1.57,3.9,7.5,1,0.62,0.38,1600.0,1600.0,0.5,0.5,2018-10-08
2018-11-08,2018-2019,Bournemouth,Cardiff,2,0,H,12,10,4,1,1.9,3.6,4.5,1,0.51,0.49,1600.0,1600.0,0.5,0.5,2018-11-08
2018-11-08,2018-2019,Fulham,Crystal Palace,0,2,A,15,10,6,9,2.5,3.4,3.0,0,0.39,0.61,1600.0,1600.0,0.5,0.5,2018-11-08
2018-11-08,2018-2019,Huddersfield,Chelsea,0,3,A,6,13,1,4,6.5,4.0,1.61,0,0.15,0.85,1600.0,1600.0,0.5,0.5,2018-11-08
2018-11-08,2018-2019,Newcastle,Tottenham,1,2,A,15,15,2,5,3.9,3.5,2.04,0,0.25,0.75,1600.0,1600.0,0.5,0.5,2018-11-08
2018-11-08,2018-2019,Watford,Brighton,2,0,H,19,6,5,0,2.37,3.2,3.4,1,0.41,0.59,1600.0,1600.0,0.5,0.5,2018-11-08
2018-11-08,2018-2019,Wolves,Everton,2,2,D,11,6,4,5,2.37,3.3,3.3,0,0.41,0.58,1600.0,1600.0,0.5,0.5,2018-11-08
2018-12-08,2018-2019,Arsenal,Man City,0,2,A,9,17,3,8,4.0,3.8,1.95,0,0.24,0.76,1600.0,1600.0,0.5,0.5,2018-12-08
2018-12-08,2018-2019,Liverpool,West Ham,4,0,H,18,5,8,2,1.25,6.5,14.0,1,0.78,0.22,1600.0,1600.0,0.5,0.5,2018-12-08
2018-12-08,2018-2019,Southampton,Burnley,0,0,D,18,16,3,6,1.85,3.5,5.0,0,0.53,0.47,1600.0,1600.0,0.5,0.5,2018-12-08
2018-08-18,2018-2019,Cardiff,Newcastle,0,0,D,12,12,1,6,3.25,3.1,2.54,0,0.3,0.7,1588.0,1588.0,0.5,0.5,2018-08-18
2018-08-18,2018-2019,Chelsea,Arsenal,3,2,H,24,15,11,6,1.8,4.0,4.5,1,0.54,0.46,1612.0,1588.0,0.5344839447268315,0.46551605527316847,2018-08-18
2018-08-18,2018-2019,Everton,Southampton,2,1,H,13,15,7,4,1.9,3.5,4.75,1,0.51,0.49,1600.0,1600.0,0.5,0.5,2018-08-18
