Date,Season,targetTeam,gameDate
2023-08-14,2023-2024,Man United,2023-08-14
2023-08-19,2023-2024,Man United,2023-08-19
2023-08-26,2023-2024,Man United,2023-08-26
2023-03-09,2023-2024,Man United,2023-03-09
2023-09-16,2023-2024,Man United,2023-09-16
2023-09-23,2023-2024,Man United,2023-09-23
2023-09-30,2023-2024,Man United,2023-09-30
2023-07-10,2023-2024,Man United,2023-07-10
2023-10-21,2023-2024,Man United,2023-10-21
2023-10-29,2023-2024,Man United,2023-10-29
2023-04-11,2023-2024,Man United,2023-04-11
2023-11-11,2023-2024,Man United,2023-11-11
2023-11-26,2023-2024,Man United,2023-11-26
2023-02-12,2023-2024,Man United,2023-02-12
2023-06-12,2023-2024,Man United,2023-06-12
2023-09-12,2023-2024,Man United,2023-09-12
2023-12-17,2023-2024,Man United,2023-12-17
